feature,importance
temperature_h00_lvl1000_global_std,13.83139229700758
geopotential_h00_lvl1000_global_std,10.793260853890038
temperature_h00_lvl1000_diff7,9.722910989423648
sin_annual,7.751510461616309
temperature_h00_lvl1000_diff14,6.7037240629757635
cos_annual,5.825226462830679
geopotential_h00_lvl1000_global_mean,5.660334761473041
temperature_h00_lvl1000_mean11,5.541631878182543
temperature_h00_lvl1000_global_max,5.333903441657611
day_of_year,5.33323385484229
temperature_h00_lvl1000,4.888421475280413
month,3.195893954348841
temperature_h00_lvl1000_mean5,2.629098439219993
temperature_h00_lvl850_diff14,2.4764465304320042
d2m_ewm30,2.349603012981633
geopotential_h00_lvl1000_global_min,1.3791805436645284
geopotential_h00_lvl1000_global_max,1.211424973496653
temperature_h00_lvl1000_global_min,0.8678875998470452
geopotential_h00_lvl1000_mean5,0.7298942411535511
geopotential_h00_lvl1000_ewm3,0.5191323034340866
u_component_of_wind_h00_lvl850_ewm3,0.4474913194934687
geopotential_h00_lvl1000_ewm14,0.3316806564985986
d2m_ewm3,0.3309736856558743
geopotential_h00_lvl1000_mean11,0.28052857440753487
v_component_of_wind_h00_lvl850_std11,0.24046166479165082
wind_chill_index,0.23951259213342713
temperature_h00_lvl1000_diff3,0.20602918700173914
temperature_h00_lvl1000_ewm7,0.19468507414292816
u_component_of_wind_h00_lvl1000_ewm3,0.19431754253982433
temperature_h00_lvl850_mean5,0.15575932747590573
temperature_h00_lvl850_ewm3,0.14582023979370523
u_component_of_wind_h00_lvl1000_mean11,0.13622569366585466
u_component_of_wind_h00_lvl1000_ewm7,0.11050816220931278
temperature_h00_lvl1000_ewm3,0.10303934607516804
u10_ewm30,0.07279969405132368
temperature_h00_lvl1000_ewm14,0.06605510230550411
d2m_grad_lat,0.0
t2m_grad_mag,0.0
d2m_grad_lon,0.0
u_component_of_wind_h00_lvl850_std11,0.0
u_component_of_wind_h00_lvl850_mean5,0.0
t2m_grad_lat,0.0
d2m_grad_mag,0.0
u_component_of_wind_h00_lvl850_std5,0.0
u_component_of_wind_h00_lvl850_mean11,0.0
tp_grad_lat,0.0
tp_grad_lon,0.0
v_component_of_wind_h00_lvl1000_std11,0.0
tp_grad_mag,0.0
t2m_grad_lon,0.0
v_component_of_wind_h00_lvl850_mean11,0.0
v_component_of_wind_h00_lvl1000_mean11,0.0
v_component_of_wind_h00_lvl850_std5,0.0
v_component_of_wind_h00_lvl1000_mean5,0.0
temperature_h00_lvl1000_std11,0.0
temperature_h00_lvl1000_std5,0.0
temperature_h00_lvl850_std5,0.0
u_component_of_wind_h00_lvl1000_std11,0.0
u_component_of_wind_h00_lvl1000_std5,0.0
u_component_of_wind_h00_lvl1000_mean5,0.0
geopotential_h00_lvl1000_std11,0.0
u10_grad_lat,0.0
temperature_h00_lvl850_mean11,0.0
temperature_h00_lvl850_std11,0.0
v_component_of_wind_h00_lvl850_mean5,0.0
geopotential_h00_lvl1000_std5,0.0
v_component_of_wind_h00_lvl1000_std5,0.0
t2m,0.0
u10_grad_lon,0.0
temperature_h00_lvl850_diff30,0.0
temperature_h00_lvl1000_grad_mag,0.0
v_component_of_wind_h00_lvl1000_grad_lat,0.0
v_component_of_wind_h00_lvl1000_grad_lon,0.0
v_component_of_wind_h00_lvl1000_grad_mag,0.0
temperature_h00_lvl1000_diff1,0.0
temperature_h00_lvl1000_diff30,0.0
temperature_h00_lvl850_diff1,0.0
temperature_h00_lvl850_diff3,0.0
temperature_h00_lvl850_diff7,0.0
temp_advection,0.0
temperature_h00_lvl1000_grad_lat,0.0
temperature_h00_lvl1000_global_mean,0.0
number,0.0
distance_to_coast_km,0.0
distance_to_coast_dilated_km,0.0
lai_hv,0.0
lai_lv,0.0
elevation,0.0
elevation_stddev,0.0
elevation_max,0.0
temperature_h00_lvl1000_grad_lon,0.0
u_component_of_wind_h00_lvl1000_grad_mag,0.0
u10_grad_mag,0.0
u_component_of_wind_h00_lvl850_grad_mag,0.0
v10_grad_lat,0.0
v10_grad_lon,0.0
v10_grad_mag,0.0
geopotential_h00_lvl850_grad_lat,0.0
geopotential_h00_lvl850_grad_lon,0.0
geopotential_h00_lvl850_grad_mag,0.0
u_component_of_wind_h00_lvl850_grad_lat,0.0
geopotential_h00_lvl850_mean11,0.0
u_component_of_wind_h00_lvl850_grad_lon,0.0
temperature_h00_lvl850_grad_lat,0.0
u_component_of_wind_h00_lvl1000_grad_lon,0.0
temperature_h00_lvl850_grad_lon,0.0
temperature_h00_lvl850_grad_mag,0.0
v_component_of_wind_h00_lvl850_grad_lat,0.0
v_component_of_wind_h00_lvl850_grad_lon,0.0
v_component_of_wind_h00_lvl850_grad_mag,0.0
geopotential_h00_lvl1000_grad_lat,0.0
geopotential_h00_lvl1000_grad_lon,0.0
geopotential_h00_lvl1000_grad_mag,0.0
u_component_of_wind_h00_lvl1000_grad_lat,0.0
geopotential_h00_lvl850_std11,0.0
u10_std5,0.0
geopotential_h00_lvl850_std5,0.0
geopotential_h00_lvl850_lag1,0.0
geopotential_h00_lvl850_lag7,0.0
u_component_of_wind_h00_lvl850_lag1,0.0
u_component_of_wind_h00_lvl850_lag3,0.0
u_component_of_wind_h00_lvl850_lag7,0.0
temperature_h00_lvl850_lag1,0.0
temperature_h00_lvl850_lag3,0.0
temperature_h00_lvl850_lag7,0.0
v_component_of_wind_h00_lvl850_lag1,0.0
v_component_of_wind_h00_lvl850_lag3,0.0
v_component_of_wind_h00_lvl850_lag7,0.0
t2m_ewm3,0.0
t2m_ewm7,0.0
t2m_ewm14,0.0
t2m_ewm30,0.0
tp_ewm3,0.0
tp_ewm7,0.0
tp_ewm14,0.0
tp_ewm30,0.0
d2m_ewm7,0.0
d2m_ewm14,0.0
u10_ewm3,0.0
geopotential_h00_lvl850_lag3,0.0
tp_lag7,0.0
geopotential_h00_lvl850_mean5,0.0
tp_lag3,0.0
d2m,0.0
tp,0.0
u10,0.0
v10,0.0
geopotential_h00_lvl850,0.0
geopotential_h00_lvl1000,0.0
u_component_of_wind_h00_lvl850,0.0
u_component_of_wind_h00_lvl1000,0.0
temperature_h00_lvl850,0.0
v_component_of_wind_h00_lvl850,0.0
v_component_of_wind_h00_lvl1000,0.0
t2m_lag1,0.0
t2m_lag3,0.0
t2m_lag7,0.0
u10_lag1,0.0
u10_lag3,0.0
u10_lag7,0.0
v10_lag1,0.0
v10_lag3,0.0
v10_lag7,0.0
tp_lag1,0.0
u10_ewm7,0.0
u10_ewm14,0.0
v10_ewm3,0.0
v10_ewm7,0.0
v_component_of_wind_h00_lvl1000_ewm30,0.0
t2m_mean5,0.0
t2m_std5,0.0
t2m_mean11,0.0
t2m_std11,0.0
d2m_mean5,0.0
d2m_std5,0.0
d2m_mean11,0.0
d2m_std11,0.0
tp_mean5,0.0
tp_std5,0.0
tp_mean11,0.0
tp_std11,0.0
u10_mean5,0.0
depthBelowLandLayer,0.0
u10_mean11,0.0
u10_std11,0.0
v10_mean5,0.0
v10_std5,0.0
v10_mean11,0.0
v10_std11,0.0
v_component_of_wind_h00_lvl1000_ewm14,0.0
v_component_of_wind_h00_lvl1000_ewm7,0.0
v_component_of_wind_h00_lvl1000_ewm3,0.0
temperature_h00_lvl850_ewm7,0.0
v10_ewm14,0.0
v10_ewm30,0.0
geopotential_h00_lvl850_ewm3,0.0
geopotential_h00_lvl850_ewm7,0.0
geopotential_h00_lvl850_ewm14,0.0
geopotential_h00_lvl850_ewm30,0.0
u_component_of_wind_h00_lvl850_ewm7,0.0
