feature,importance
sd_global_max,9.793014322170896
sd_global_std,6.37666264480816
sd_global_mean,5.435755683506419
day_of_year,5.273359586663342
t2m_global_mean,3.5696433553980618
t2m_global_std,3.445953876056641
sin_semiannual,2.6004824077040243
wind_chill_index,2.5434381742215812
t2m_diff14,2.2962838313986347
t2m_min11,2.2751494532479026
sin_annual,2.263659881381208
sd_diff14,2.1802039691807686
msl_global_min,2.15974520985452
v10_global_mean,2.064590274332261
t2m_max5,2.04703155781524
t2m_global_max,1.9576529505088271
cos_annual,1.945107466633891
elevation_stddev,1.9350644117342537
u10_global_mean,1.9249807545292854
msl_global_mean,1.8164567909539353
tp_ewm14,1.6321726788562307
cos_semiannual,1.6046103356498556
elevation_max,1.5224691004657094
msl_ewm14,1.5116253155774446
u10_global_min,1.3971340539114532
t2m_mean11,1.3502069336127853
msl_global_std,1.3204053027762332
sd_min11,1.2384864344876283
elevation_min,1.2315910181748362
v10_global_std,1.1116889874507183
u10_global_std,0.9857524726009115
t2m_global_min,0.9647586953187208
sd_min5,0.7864742608640721
v10_global_min,0.7795388352761374
sd_max11,0.7613444599621544
t2m,0.73632975838131
u10_global_max,0.7172784532043867
t2m_diff7,0.6979082109762816
v10_global_max,0.69151068202656
msl_diff7,0.6545030624906742
tp_min11,0.5795386090061913
t2m_std11,0.5688739006145512
t2m_ewm14,0.5671941418313062
msl_global_max,0.5587996275098144
msl_diff14,0.5382988044795093
v10_min11,0.4596138638315515
t2m_max11,0.44734161972652015
t2m_ewm7,0.41219136522249944
sd_global_min,0.4097343790724912
t2m_grad_lat,0.40058307891280603
u10_max11,0.3859273079811191
u10_mean11,0.3616908686335491
lai_hv,0.3607119648370855
lai_lv,0.3584032204925397
v10_ewm14,0.349898186942967
msl_max11,0.3466299989656026
msl_ewm7,0.3337898930017326
sd_mean11,0.31734231067051444
v10_max11,0.2745261916280468
v10_mean11,0.26864206956417597
tp_min5,0.2617388653109566
t2m_diff3,0.24962518788178992
tp_mean11,0.24857046711623645
t2m_diff1,0.24520040386032024
msl_min11,0.2343708436427574
distance_to_coast_dilated_km,0.23342935834752512
elevation,0.2306442805361245
v10_ewm7,0.2120845559964835
tp_ewm7,0.20963298331660699
t2m_ewm3,0.20511671906604279
u10_min11,0.19175242381424984
u10_ewm14,0.18163524042032742
month,0.17486280817439692
sd_max5,0.16471448537433422
sd_diff1,0.1646901350044517
msl_ewm3,0.1563817741234863
msl_mean11,0.147561062192611
sd,0.12593035857953322
msl_diff3,0.12584739777920073
sd_mean5,0.11913320196169251
sd_ewm14,0.11051346272568655
sd_diff7,0.10393600406741897
v10_ewm3,0.10280761160119144
msl_diff1,0.10115616209501288
tp_max11,0.09953828990632554
u10_ewm7,0.09427479949474797
t2m_mean5,0.0877160315232376
msl_grad_lat,0.08448613253262989
sd_ewm3,0.07961087877791018
t2m_min5,0.07876824265110799
msl_max5,0.07768009321340451
sd_grad_lat,0.07560250905487209
sd_std11,0.0748949813391279
sd_ewm7,0.06731302085076825
msl_grad_lon,0.06581635706799854
v10_std11,0.061153158912413845
sd_diff3,0.05702831230533576
t2m_grad_lon,0.05410014315595807
v10_std5,0.053516987023897684
msl_min5,0.05328450468638032
v10_max5,0.044208989867206595
t2m_grad_mag,0.0395356364245951
v10_min5,0.03867315865152618
v10,0.03644215416418407
sd_grad_lon,0.03348204952919509
u10_std11,0.030784737809230148
v10_grad_lon,0.030045407766752328
msl_std11,0.029493366228701662
t2m_std5,0.0292325072249323
msl_mean5,0.029011821474124736
tp_std11,0.0274428844743017
v10_grad_lat,0.026664073951207855
tp_grad_lon,0.026397186070695404
u10_ewm3,0.02629532347114218
tp_mean5,0.02445612497289491
tp_ewm3,0.02366611086901291
tp_grad_lat,0.022075379795192328
u10_grad_lon,0.020142291096257627
sd_grad_mag,0.01935147092866538
distance_to_coast_km,0.019252750312433103
msl,0.016116984573727965
v10_mean5,0.012229114132787598
u10_max5,0.009685391169858582
sd_std5,0.007971570295239809
u10_std5,0.00496304742661887
u10_min5,0.0028627035645104526
tp_max5,0.0023100985393308374
tp_grad_mag,0.0013303726425864294
u10_grad_lat,0.0
u10,0.0
msl_grad_mag,0.0
quantile,0.0
expver,0.0
temp_advection,0.0
msl_std5,0.0
u10_grad_mag,0.0
v10_grad_mag,0.0
u10_mean5,0.0
tp_std5,0.0
tp,0.0
depthBelowLandLayer,0.0
