feature,importance
t2m_diff14,12.511080196867345
t2m_diff7,11.95526369605424
stl1_ewm30,11.629591546133605
cos_annual,10.505751687720103
sin_annual,5.50472279199092
t2m_diff30,3.8233379900081883
stl1_diff30,3.4259858720998713
stl1_diff3,3.407192076527958
day_of_year,3.339015253910235
tp_std5,3.2552216157475806
tp_mean5,2.4445570062916957
d2m_ewm30,2.2934024404524633
t2m_diff3,1.62639612038935
d2m_std5,1.6025476320804262
d2m_diff7,1.5583957654386988
d2m_diff30,1.347639899218651
tp_ewm30,1.307811251877528
tp,1.2837319809374335
stl1_diff14,1.201221478357048
stl1_diff7,1.1207879236700387
d2m_diff14,1.0422387480123716
d2m_diff3,1.006410167204002
t2m_std5,1.000489974342759
stl1_diff1,0.8849382018819253
d2m_lag1,0.8378312395002164
d2m_mean5,0.7089675394211747
d2m_lag7,0.7078547189640434
t2m_diff1,0.5879015124084
tp_diff14,0.5152193621666026
tp_diff1,0.44716183051103425
stl1_lag7,0.4327042967231493
d2m_lag3,0.43101378819413017
stl1_grad_mag,0.37685132013488426
d2m_diff1,0.36580559504670196
t2m_ewm30,0.3487009100359348
d2m_ewm14,0.32678421419766646
tp_diff7,0.2977132324966652
t2m_mean5,0.2865110233042576
d2m_ewm3,0.2605607602243724
tp_ewm3,0.25684784117348464
tp_ewm14,0.24970818713884912
t2m_grad_lat,0.24701896610782273
tp_diff3,0.24631147266094647
d2m,0.24100885914728562
d2m_grad_lat,0.23322564925944497
stl1,0.21837516951679334
t2m_grad_lon,0.20156567818478288
d2m_grad_lon,0.20151134582768393
d2m_ewm7,0.18918033361594735
tp_diff30,0.18851201702329154
stl1_grad_lat,0.15993131841619682
month,0.15679456624128055
t2m_lag3,0.14109921082459861
tp_ewm7,0.1342963053582399
stl1_lag3,0.10513182184144207
t2m_lag7,0.09879042339466318
t2m_lag1,0.08877734966480631
t2m_grad_mag,0.08278721849580907
stl1_lag1,0.0816212037676979
stl1_ewm14,0.07431603821901332
t2m,0.06413281654700104
tp_grad_lat,0.05957256533157728
t2m_ewm14,0.059070652434876476
stl1_ewm7,0.05739287336490317
tp_grad_lon,0.03665264065969058
stl1_grad_lon,0.034418888130693534
stl1_ewm3,0.031114028299250623
t2m_ewm7,0.022719917746723516
tp_grad_mag,0.017163965898454064
t2m_ewm3,0.009798051457351058
d2m_grad_mag,0.0018399637056656115
